country,season,total_flights,departures,arrivals
Denmark,Autumn,48359.28571428572,24175.14285714286,24184.14285714286
Estonia,Winter,7820.285714285715,3910.714285714286,3909.5714285714284
Estonia,Spring,8503.714285714286,4251.857142857143,4251.857142857143
Estonia,Summer,8417.142857142857,4209.428571428572,4207.714285714285
Estonia,Autumn,8359.714285714286,4182.0,4177.714285714285
Finland,Winter,34449.857142857145,17225.714285714286,17224.14285714286
Finland,Spring,34827.57142857143,17411.428571428572,17416.14285714286
Finland,Summer,30892.14285714286,15422.42857142857,15469.714285714286
Finland,Autumn,32551.428571428572,16271.142857142857,16280.285714285714
France,Winter,327830.5714285714,163850.0,163980.57142857142
France,Spring,367641.5714285714,183644.14285714287,183997.42857142858
France,Summer,381949.14285714284,190878.14285714287,191071.0
France,Autumn,348398.71428571426,174137.14285714287,174261.57142857142
Georgia,Winter,5483.0,2742.0,2741.0
Georgia,Spring,6286.428571428572,3140.285714285714,3146.1428571428573
Georgia,Summer,6921.142857142857,3461.0,3460.1428571428573
Georgia,Autumn,5957.571428571428,2980.8571428571427,2976.714285714286
Germany,Winter,353064.14285714284,176378.7142857143,176685.42857142858
Germany,Spring,395539.14285714284,197411.42857142858,198127.7142857143
Germany,Summer,391416.0,195432.57142857142,195983.42857142858
Germany,Autumn,390040.14285714284,194758.57142857142,195281.57142857142
Greece,Winter,50980.57142857143,25465.0,25515.571428571428
Greece,Spring,79467.71428571429,39690.0,39777.71428571428
Greece,Summer,150311.14285714287,75124.0,75187.14285714286
Greece,Autumn,97489.71428571429,48747.71428571428,48742.0
Hungary,Winter,19350.14285714286,9681.57142857143,9668.57142857143
Hungary,Spring,20872.14285714286,10437.857142857143,10434.285714285714
Hungary,Summer,21636.571428571428,10818.714285714286,10817.857142857143
Hungary,Autumn,19972.14285714286,9986.285714285714,9985.857142857143
Ireland,Winter,48568.0,24283.428571428572,24284.571428571428
Ireland,Spring,56060.0,28017.85714285714,28042.14285714286
Ireland,Summer,55574.57142857143,27785.428571428572,27789.14285714286
Ireland,Autumn,51164.42857142857,25576.428571428572,25588.0
Israel,Winter,16779.285714285714,8386.42857142857,8392.857142857143
Israel,Spring,19169.14285714286,9580.57142857143,9588.57142857143
Israel,Summer,18573.85714285714,9287.285714285714,9286.57142857143
Israel,Autumn,16965.428571428572,8487.42857142857,8478.0
Italy,Winter,203416.57142857142,101701.28571428571,101715.28571428571
Italy,Spring,226664.7142857143,113298.57142857143,113366.14285714286
Italy,Summer,245228.42857142858,122594.85714285714,122633.57142857143
Italy,Autumn,222694.85714285713,111359.42857142857,111335.42857142857
Latvia,Winter,13797.42857142857,6897.285714285715,6900.142857142857
Latvia,Spring,14502.0,7250.285714285715,7251.714285714285
Latvia,Summer,15488.857142857143,7740.285714285715,7748.571428571428
Latvia,Autumn,14673.57142857143,7333.571428571428,7340.0
Lithuania,Winter,10709.142857142857,5354.428571428572,5354.714285714285
Lithuania,Spring,11983.0,5986.0,5997.0
Lithuania,Summer,11626.857142857143,5812.857142857143,5814.0
Lithuania,Autumn,11474.857142857143,5729.285714285715,5745.571428571428
Luxembourg,Winter,13526.0,6756.0,6770.0
Luxembourg,Spring,15221.714285714286,7605.285714285715,7616.428571428572
Luxembourg,Summer,14142.285714285714,7066.428571428572,7075.857142857143
Luxembourg,Autumn,14453.714285714286,7222.0,7231.714285714285
Malta,Winter,8242.42857142857,4135.285714285715,4107.142857142857
Malta,Spring,10294.42857142857,5156.142857142857,5138.285714285715
Malta,Summer,11536.285714285714,5780.571428571428,5755.714285714285
Malta,Autumn,10444.285714285714,5234.285714285715,5210.0
Moldova,Winter,4388.857142857143,2188.8571428571427,2200.0
Moldova,Spring,4365.571428571428,2181.1428571428573,2184.4285714285716
Moldova,Summer,5921.428571428572,2958.0,2963.4285714285716
