country,season,total_flights,departures,arrivals
Latvia,Autumn,109.38764643237486,54.66986155484558,54.71778487752928
Lithuania,Winter,32.59304347826087,16.29608695652174,16.29695652173913
Lithuania,Spring,34.22317421460628,17.095879232966137,17.127294981640148
Lithuania,Summer,38.33631653320772,19.166274140367406,19.17004239284032
Lithuania,Autumn,38.43253588516746,19.188995215311003,19.243540669856458
Luxembourg,Winter,157.540765391015,78.68885191347754,78.85191347753744
Luxembourg,Spring,165.45341614906832,82.66614906832298,82.78726708074534
Luxembourg,Summer,179.34057971014494,89.61050724637681,89.73007246376811
Luxembourg,Autumn,185.3040293040293,92.58974358974359,92.71428571428571
Malta,Winter,96.00166389351081,48.16472545757072,47.8369384359401
Malta,Spring,111.89596273291926,56.04503105590062,55.850931677018636
Malta,Summer,146.29347826086956,73.30434782608695,72.98913043478261
