country,year,total_flights,%_change,chart_type,season,departures,arrivals,airport,flight_type,flights
Israel,2021.0,74950.0,38.491102939817814,country_trends,,,,,,
Israel,2022.0,48152.0,-35.754503002001336,country_trends,,,,,,
Italy,2017.0,1161145.0,2.639204163749631,country_trends,,,,,,
Italy,2018.0,1203743.0,3.6686201981664723,country_trends,,,,,,
Italy,2019.0,1231769.0,2.328237838143199,country_trends,,,,,,
Italy,2020.0,480534.0,-60.988302189777464,country_trends,,,,,,
Italy,2021.0,679105.0,41.32298651084003,country_trends,,,,,,
Italy,2022.0,398448.0,-41.32748249534314,country_trends,,,,,,
Latvia,2017.0,74724.0,10.225395326882225,country_trends,,,,,,
Latvia,2018.0,83483.0,11.721802901343615,country_trends,,,,,,
Latvia,2019.0,87545.0,4.86566127235486,country_trends,,,,,,
Latvia,2020.0,35796.0,-59.111314181278196,country_trends,,,,,,
Latvia,2021.0,39030.0,9.034528997653378,country_trends,,,,,,
Latvia,2022.0,20863.0,-46.54624647706892,country_trends,,,,,,
Lithuania,2017.0,55991.0,5.390855873661238,country_trends,,,,,,
Lithuania,2018.0,61779.0,10.337375649657975,country_trends,,,,,,
Lithuania,2019.0,63338.0,2.5235112254973435,country_trends,,,,,,
Lithuania,2020.0,31116.0,-50.87309356152705,country_trends,,,,,,
Lithuania,2021.0,34780.0,11.77529245404294,country_trends,,,,,,
Lithuania,2022.0,20426.0,-41.27084531339851,country_trends,,,,,,
Luxembourg,2017.0,70667.0,7.802965584574073,country_trends,,,,,,
Luxembourg,2018.0,74875.0,5.954688892976923,country_trends,,,,,,
Luxembourg,2019.0,76300.0,1.9031719532554225,country_trends,,,,,,
Luxembourg,2020.0,40335.0,-47.13630406290956,country_trends,,,,,,
Luxembourg,2021.0,47684.0,18.21990826825337,country_trends,,,,,,
Luxembourg,2022.0,25993.0,-45.48905293180102,country_trends,,,,,,
Malta,2017.0,50789.0,14.12745494584513,country_trends,,,,,,
Malta,2018.0,56668.0,11.575341117171046,country_trends,,,,,,
Malta,2019.0,58181.0,2.6699371779487446,country_trends,,,,,,
Malta,2020.0,24307.0,-58.221756243447174,country_trends,,,,,,
Malta,2021.0,32499.0,33.70222569630148,country_trends,,,,,,
Malta,2022.0,16676.0,-48.68765192775162,country_trends,,,,,,
Moldova,2017.0,27159.0,21.800161449457356,country_trends,,,,,,
Moldova,2018.0,28033.0,3.218086085643801,country_trends,,,,,,
Moldova,2019.0,27354.0,-2.422145328719727,country_trends,,,,,,
Moldova,2020.0,9828.0,-64.0710682167142,country_trends,,,,,,
Moldova,2021.0,16799.0,70.92999592999594,country_trends,,,,,,
Moldova,2022.0,4787.0,-71.50425620572653,country_trends,,,,,,
Montenegro,2017.0,12914.0,13.131844064826993,country_trends,,,,,,
Montenegro,2018.0,14105.0,9.222549171441852,country_trends,,,,,,
Montenegro,2019.0,14557.0,3.204537398085794,country_trends,,,,,,
Montenegro,2020.0,5816.0,-60.04671292161847,country_trends,,,,,,
Montenegro,2021.0,8232.0,41.540577716643746,country_trends,,,,,,
Montenegro,2022.0,4012.0,-51.263362487852284,country_trends,,,,,,
Morocco,2019.0,199189.0,9.88282930811919,country_trends,,,,,,
Morocco,2020.0,70158.0,-64.77817550165923,country_trends,,,,,,
Morocco,2021.0,99149.0,41.32244362724138,country_trends,,,,,,
Morocco,2022.0,51105.0,-48.456363654701505,country_trends,,,,,,
Netherlands,2017.0,549347.0,2.9449133485248247,country_trends,,,,,,
Netherlands,2018.0,560167.0,1.9696111929254245,country_trends,,,,,,
Netherlands,2019.0,558126.0,-0.36435562966044,country_trends,,,,,,
Netherlands,2020.0,265943.0,-52.350723671715706,country_trends,,,,,,
Netherlands,2021.0,313736.0,17.971144192552547,country_trends,,,,,,
Netherlands,2022.0,177519.0,-43.4177142565724,country_trends,,,,,,
Norway,2017.0,461413.0,-0.6303570659430546,country_trends,,,,,,
Norway,2018.0,734691.0,59.2263330248606,country_trends,,,,,,
Norway,2019.0,726795.0,-1.0747375427220374,country_trends,,,,,,
Norway,2020.0,469920.0,-35.34352878046767,country_trends,,,,,,
Norway,2021.0,507141.0,7.9207099080694565,country_trends,,,,,,
Norway,2022.0,256316.0,-49.45863182034188,country_trends,,,,,,
Poland,2017.0,386151.0,8.96277526327076,country_trends,,,,,,
Poland,2018.0,428503.0,10.967730240242801,country_trends,,,,,,
Poland,2019.0,443679.0,3.5416321472661716,country_trends,,,,,,
Poland,2020.0,194403.0,-56.183862657461816,country_trends,,,,,,
Poland,2021.0,238124.0,22.489879271410416,country_trends,,,,,,
Poland,2022.0,133945.0,-43.74989501268247,country_trends,,,,,,
Portugal,2017.0,411006.0,10.837661602187598,country_trends,,,,,,
Portugal,2018.0,431889.0,5.080947723390894,country_trends,,,,,,
Portugal,2019.0,442585.0,2.4765622648411867,country_trends,,,,,,
Portugal,2020.0,193632.0,-56.24975993312019,country_trends,,,,,,
Portugal,2021.0,255617.0,32.011754255494964,country_trends,,,,,,
Portugal,2022.0,151657.0,-40.670221464143616,country_trends,,,,,,
Republic of North Macedonia,2017.0,16404.0,7.779237844940878,country_trends,,,,,,
Republic of North Macedonia,2018.0,17836.0,8.729578151670324,country_trends,,,,,,
Republic of North Macedonia,2019.0,18845.0,5.657098004036776,country_trends,,,,,,
Republic of North Macedonia,2020.0,8250.0,-56.22180949854072,country_trends,,,,,,
Republic of North Macedonia,2021.0,13327.0,61.53939393939394,country_trends,,,,,,
Republic of North Macedonia,2022.0,5418.0,-59.34568920237113,country_trends,,,,,,
Romania,2017.0,120163.0,8.171146679149487,country_trends,,,,,,
Romania,2018.0,127414.0,6.034303404542163,country_trends,,,,,,
Romania,2019.0,129019.0,1.259673191329047,country_trends,,,,,,
Romania,2020.0,56656.0,-56.08708794828669,country_trends,,,,,,
Romania,2021.0,77637.0,37.032264896921774,country_trends,,,,,,
Romania,2022.0,39685.0,-48.88390844571532,country_trends,,,,,,
Serbia,2017.0,64080.0,1.0406811731314969,country_trends,,,,,,
Serbia,2018.0,66466.0,3.723470661672912,country_trends,,,,,,
Serbia,2019.0,70978.0,6.788433183883491,country_trends,,,,,,
Serbia,2020.0,34129.0,-51.916086674744285,country_trends,,,,,,
Serbia,2021.0,49367.0,44.6482463594011,country_trends,,,,,,
Serbia,2022.0,21449.0,-56.55194765734195,country_trends,,,,,,
Slovakia,2017.0,22210.0,6.009259701207581,country_trends,,,,,,
Slovakia,2018.0,23906.0,7.636199909950481,country_trends,,,,,,
Slovakia,2019.0,22593.0,-5.492345017987121,country_trends,,,,,,
Slovakia,2020.0,9053.0,-59.930066834860355,country_trends,,,,,,
Slovakia,2021.0,10980.0,21.28576162598035,country_trends,,,,,,
Slovakia,2022.0,5395.0,-50.865209471766846,country_trends,,,,,,
Slovenia,2017.0,33852.0,11.789181692094308,country_trends,,,,,,
Slovenia,2018.0,35478.0,4.803261254874158,country_trends,,,,,,
Slovenia,2019.0,32102.0,-9.515756243305706,country_trends,,,,,,
Slovenia,2020.0,13159.0,-59.00878449940814,country_trends,,,,,,
Slovenia,2021.0,16964.0,28.91557109202827,country_trends,,,,,,
Slovenia,2022.0,7754.0,-54.2914406979486,country_trends,,,,,,
Spain,2017.0,1961550.0,5.737494158037815,country_trends,,,,,,
Spain,2018.0,2072032.0,5.632382554612425,country_trends,,,,,,
Spain,2019.0,2118002.0,2.218595079612662,country_trends,,,,,,
Spain,2020.0,894872.0,-57.7492372528449,country_trends,,,,,,
Spain,2021.0,1254450.0,40.18205955712102,country_trends,,,,,,
Spain,2022.0,702736.0,-43.9805492446889,country_trends,,,,,,
Sweden,2017.0,374760.0,4.689459819595343,country_trends,,,,,,
Sweden,2018.0,370848.0,-1.043868075568366,country_trends,,,,,,
Sweden,2019.0,354070.0,-4.524225558719475,country_trends,,,,,,
Sweden,2020.0,128809.0,-63.62047052842659,country_trends,,,,,,
Sweden,2021.0,140520.0,9.09175601083776,country_trends,,,,,,
Sweden,2022.0,90132.0,-35.858240819812124,country_trends,,,,,,
